"Date","sulfate","nitrate","ID"
"2001-07-10",NA,NA,96
"2001-07-11",NA,NA,96
"2001-07-12",2.46,0.385,96
"2001-07-13",NA,NA,96
"2001-07-14",NA,NA,96
"2001-07-15",NA,NA,96
"2001-07-16",NA,NA,96
"2001-07-17",NA,NA,96
"2001-07-18",2.5,0.403,96
"2001-07-19",NA,NA,96
"2001-07-20",NA,NA,96
"2001-07-21",7.42,0.781,96
"2001-07-22",NA,NA,96
"2001-07-23",NA,NA,96
"2001-07-24",2.69,0.88,96
"2001-07-25",NA,NA,96
"2001-07-26",NA,NA,96
"2001-07-27",2.72,0.689,96
"2001-07-28",NA,NA,96
"2001-07-29",NA,NA,96
"2001-07-30",5.29,0.361,96
"2001-07-31",NA,NA,96
"2001-08-01",NA,NA,96
"2001-08-02",NA,0.639,96
"2001-08-03",NA,NA,96
"2001-08-04",NA,NA,96
"2001-08-05",9.68,0.959,96
"2001-08-06",NA,NA,96
"2001-08-07",NA,NA,96
"2001-08-08",22.1,0.69,96
"2001-08-09",NA,NA,96
"2001-08-10",NA,NA,96
"2001-08-11",2.47,0.611,96
"2001-08-12",NA,NA,96
"2001-08-13",NA,NA,96
"2001-08-14",1.53,0.407,96
"2001-08-15",NA,NA,96
"2001-08-16",NA,NA,96
"2001-08-17",1,0.31,96
"2001-08-18",NA,NA,96
"2001-08-19",NA,NA,96
"2001-08-20",NA,0.42,96
"2001-08-21",NA,NA,96
"2001-08-22",NA,NA,96
"2001-08-23",6.65,1.32,96
"2001-08-24",NA,NA,96
"2001-08-25",NA,NA,96
"2001-08-26",3.55,0.661,96
"2001-08-27",NA,NA,96
"2001-08-28",NA,NA,96
"2001-08-29",3.71,0.386,96
"2001-08-30",NA,NA,96
"2001-08-31",NA,NA,96
"2001-09-01",NA,NA,96
"2001-09-02",NA,NA,96
"2001-09-03",NA,NA,96
"2001-09-04",NA,NA,96
"2001-09-05",NA,NA,96
"2001-09-06",NA,NA,96
"2001-09-07",3.94,0.517,96
"2001-09-08",NA,NA,96
"2001-09-09",NA,NA,96
"2001-09-10",1.18,0.326,96
"2001-09-11",NA,NA,96
"2001-09-12",NA,NA,96
"2001-09-13",1.63,0.772,96
"2001-09-14",NA,NA,96
"2001-09-15",NA,NA,96
"2001-09-16",2.72,1.56,96
"2001-09-17",NA,NA,96
"2001-09-18",NA,NA,96
"2001-09-19",5.97,1.98,96
"2001-09-20",NA,NA,96
"2001-09-21",NA,NA,96
"2001-09-22",3.29,1.08,96
"2001-09-23",NA,NA,96
"2001-09-24",NA,NA,96
"2001-09-25",0.36,0.315,96
"2001-09-26",NA,NA,96
"2001-09-27",NA,NA,96
"2001-09-28",2.17,2.9,96
"2001-09-29",NA,NA,96
"2001-09-30",NA,NA,96
"2001-10-01",NA,NA,96
"2001-10-02",NA,NA,96
"2001-10-03",NA,NA,96
"2001-10-04",NA,NA,96
"2001-10-05",NA,NA,96
"2001-10-06",NA,NA,96
"2001-10-07",NA,NA,96
"2001-10-08",NA,NA,96
"2001-10-09",NA,NA,96
"2001-10-10",NA,NA,96
"2001-10-11",NA,NA,96
"2001-10-12",NA,NA,96
"2001-10-13",NA,NA,96
"2001-10-14",NA,NA,96
"2001-10-15",NA,NA,96
"2001-10-16",0.922,0.655,96
"2001-10-17",NA,NA,96
"2001-10-18",NA,NA,96
"2001-10-19",1.33,2.19,96
"2001-10-20",NA,NA,96
"2001-10-21",NA,NA,96
"2001-10-22",3.17,3.11,96
"2001-10-23",NA,NA,96
"2001-10-24",NA,NA,96
"2001-10-25",1.63,0.453,96
"2001-10-26",NA,NA,96
"2001-10-27",NA,NA,96
"2001-10-28",1.33,1.54,96
"2001-10-29",NA,NA,96
"2001-10-30",NA,NA,96
"2001-10-31",NA,NA,96
"2001-11-01",NA,NA,96
"2001-11-02",NA,NA,96
"2001-11-03",1.41,1.18,96
"2001-11-04",NA,NA,96
"2001-11-05",NA,NA,96
"2001-11-06",2.23,2.01,96
"2001-11-07",NA,NA,96
"2001-11-08",NA,NA,96
"2001-11-09",0.787,1.83,96
"2001-11-10",NA,NA,96
"2001-11-11",NA,NA,96
"2001-11-12",2.02,4.3,96
"2001-11-13",NA,NA,96
"2001-11-14",NA,NA,96
"2001-11-15",9.16,3.32,96
"2001-11-16",NA,NA,96
"2001-11-17",NA,NA,96
"2001-11-18",5.34,4.09,96
"2001-11-19",NA,NA,96
"2001-11-20",NA,NA,96
"2001-11-21",0.751,2.23,96
"2001-11-22",NA,NA,96
"2001-11-23",NA,NA,96
"2001-11-24",NA,NA,96
"2001-11-25",NA,NA,96
"2001-11-26",NA,NA,96
"2001-11-27",NA,NA,96
"2001-11-28",NA,NA,96
"2001-11-29",NA,NA,96
"2001-11-30",NA,3.28,96
"2001-12-01",NA,NA,96
"2001-12-02",NA,NA,96
"2001-12-03",NA,NA,96
"2001-12-04",NA,NA,96
"2001-12-05",NA,NA,96
"2001-12-06",NA,NA,96
"2001-12-07",NA,NA,96
"2001-12-08",NA,NA,96
"2001-12-09",NA,NA,96
"2001-12-10",NA,NA,96
"2001-12-11",NA,NA,96
"2001-12-12",4.23,5.66,96
"2001-12-13",NA,NA,96
"2001-12-14",NA,NA,96
"2001-12-15",4.46,5.31,96
"2001-12-16",NA,NA,96
"2001-12-17",NA,NA,96
"2001-12-18",1.57,4.93,96
"2001-12-19",NA,NA,96
"2001-12-20",NA,NA,96
"2001-12-21",0.829,3.87,96
"2001-12-22",NA,NA,96
"2001-12-23",NA,NA,96
"2001-12-24",1.21,2.38,96
"2001-12-25",NA,NA,96
"2001-12-26",NA,NA,96
"2001-12-27",NA,NA,96
"2001-12-28",NA,NA,96
"2001-12-29",NA,NA,96
"2001-12-30",NA,NA,96
"2001-12-31",NA,NA,96
"2002-01-01",NA,NA,96
"2002-01-02",1.39,6.37,96
"2002-01-03",NA,NA,96
"2002-01-04",NA,NA,96
"2002-01-05",2.51,7.77,96
"2002-01-06",NA,NA,96
"2002-01-07",NA,NA,96
"2002-01-08",NA,NA,96
"2002-01-09",NA,NA,96
"2002-01-10",NA,NA,96
"2002-01-11",1.67,2.87,96
"2002-01-12",NA,NA,96
"2002-01-13",NA,NA,96
"2002-01-14",2.69,3.58,96
"2002-01-15",NA,NA,96
"2002-01-16",NA,NA,96
"2002-01-17",2.41,5.08,96
"2002-01-18",NA,NA,96
"2002-01-19",NA,NA,96
"2002-01-20",3.34,7.75,96
"2002-01-21",NA,NA,96
"2002-01-22",NA,NA,96
"2002-01-23",NA,NA,96
"2002-01-24",NA,NA,96
"2002-01-25",NA,NA,96
"2002-01-26",NA,NA,96
"2002-01-27",NA,NA,96
"2002-01-28",NA,NA,96
"2002-01-29",4.2,6.71,96
"2002-01-30",NA,NA,96
"2002-01-31",NA,NA,96
"2002-02-01",1.51,4.96,96
"2002-02-02",NA,NA,96
"2002-02-03",NA,NA,96
"2002-02-04",2.42,4.07,96
"2002-02-05",NA,NA,96
"2002-02-06",NA,NA,96
"2002-02-07",4.58,12.1,96
"2002-02-08",NA,NA,96
"2002-02-09",NA,NA,96
"2002-02-10",1.65,3.02,96
"2002-02-11",NA,NA,96
"2002-02-12",NA,NA,96
"2002-02-13",2.58,2.01,96
"2002-02-14",NA,NA,96
"2002-02-15",NA,NA,96
"2002-02-16",0.98,1.49,96
"2002-02-17",NA,NA,96
"2002-02-18",NA,NA,96
"2002-02-19",1.71,3.87,96
"2002-02-20",NA,NA,96
"2002-02-21",NA,NA,96
"2002-02-22",1.33,3.1,96
"2002-02-23",NA,NA,96
"2002-02-24",NA,NA,96
"2002-02-25",2.43,2.48,96
"2002-02-26",NA,NA,96
"2002-02-27",NA,NA,96
"2002-02-28",1.94,2.62,96
"2002-03-01",NA,NA,96
"2002-03-02",NA,NA,96
"2002-03-03",1.2,0.97,96
"2002-03-04",NA,NA,96
"2002-03-05",NA,NA,96
"2002-03-06",4.52,10.5,96
"2002-03-07",NA,NA,96
"2002-03-08",NA,NA,96
"2002-03-09",1.72,1.06,96
"2002-03-10",NA,NA,96
"2002-03-11",NA,NA,96
"2002-03-12",2.67,6.38,96
"2002-03-13",NA,NA,96
"2002-03-14",NA,NA,96
"2002-03-15",2.14,2.18,96
"2002-03-16",NA,NA,96
"2002-03-17",NA,NA,96
"2002-03-18",5.35,9.07,96
"2002-03-19",NA,NA,96
"2002-03-20",NA,NA,96
"2002-03-21",2.27,2.27,96
"2002-03-22",NA,NA,96
"2002-03-23",NA,NA,96
"2002-03-24",1.63,3.26,96
"2002-03-25",NA,NA,96
"2002-03-26",NA,NA,96
"2002-03-27",2.68,6.11,96
"2002-03-28",NA,NA,96
"2002-03-29",NA,NA,96
"2002-03-30",1.12,1.16,96
"2002-03-31",NA,NA,96
"2002-04-01",NA,NA,96
"2002-04-02",3.96,7.88,96
"2002-04-03",NA,NA,96
"2002-04-04",NA,NA,96
"2002-04-05",2.51,6.14,96
"2002-04-06",NA,NA,96
"2002-04-07",NA,NA,96
"2002-04-08",3.17,3.97,96
"2002-04-09",NA,NA,96
"2002-04-10",NA,NA,96
"2002-04-11",4.67,1.84,96
"2002-04-12",NA,NA,96
"2002-04-13",NA,NA,96
"2002-04-14",6.8,4.5,96
"2002-04-15",NA,NA,96
"2002-04-16",NA,NA,96
"2002-04-17",2.39,0.486,96
"2002-04-18",NA,NA,96
"2002-04-19",NA,NA,96
"2002-04-20",1.35,1.67,96
"2002-04-21",NA,NA,96
"2002-04-22",NA,NA,96
"2002-04-23",4.51,5.78,96
"2002-04-24",NA,NA,96
"2002-04-25",NA,NA,96
"2002-04-26",1.46,3.62,96
"2002-04-27",NA,NA,96
"2002-04-28",NA,NA,96
"2002-04-29",3.24,2.62,96
"2002-04-30",NA,NA,96
"2002-05-01",NA,NA,96
"2002-05-02",1.1,1.7,96
"2002-05-03",NA,NA,96
"2002-05-04",NA,NA,96
"2002-05-05",3.42,2.2,96
"2002-05-06",NA,NA,96
"2002-05-07",NA,NA,96
"2002-05-08",2.81,0.703,96
"2002-05-09",NA,NA,96
"2002-05-10",NA,NA,96
"2002-05-11",1.96,2.2,96
"2002-05-12",NA,NA,96
"2002-05-13",NA,NA,96
"2002-05-14",1.48,1.48,96
"2002-05-15",NA,NA,96
"2002-05-16",NA,NA,96
"2002-05-17",1.89,2.22,96
"2002-05-18",NA,NA,96
"2002-05-19",NA,NA,96
"2002-05-20",2,2.76,96
"2002-05-21",NA,NA,96
"2002-05-22",NA,NA,96
"2002-05-23",6.62,1.56,96
"2002-05-24",NA,NA,96
"2002-05-25",NA,NA,96
"2002-05-26",1.68,0.623,96
"2002-05-27",NA,NA,96
"2002-05-28",NA,NA,96
"2002-05-29",2.96,0.645,96
"2002-05-30",NA,NA,96
"2002-05-31",NA,NA,96
"2002-06-01",NA,NA,96
"2002-06-02",NA,NA,96
"2002-06-03",NA,NA,96
"2002-06-04",1.17,1.05,96
"2002-06-05",NA,NA,96
"2002-06-06",NA,NA,96
"2002-06-07",6.62,2.65,96
"2002-06-08",NA,NA,96
"2002-06-09",NA,NA,96
"2002-06-10",4.12,0.457,96
"2002-06-11",NA,NA,96
"2002-06-12",NA,NA,96
"2002-06-13",2.83,2.79,96
"2002-06-14",NA,NA,96
"2002-06-15",NA,NA,96
"2002-06-16",0.852,0.262,96
"2002-06-17",NA,NA,96
"2002-06-18",NA,NA,96
"2002-06-19",7.63,1.55,96
"2002-06-20",NA,NA,96
"2002-06-21",NA,NA,96
"2002-06-22",9.26,0.773,96
"2002-06-23",NA,NA,96
"2002-06-24",NA,NA,96
"2002-06-25",6.59,0.948,96
"2002-06-26",NA,NA,96
"2002-06-27",NA,NA,96
"2002-06-28",NA,0.797,96
"2002-06-29",NA,NA,96
"2002-06-30",NA,NA,96
"2002-07-01",3.76,0.65,96
"2002-07-02",NA,NA,96
"2002-07-03",NA,NA,96
"2002-07-04",7.71,0.961,96
"2002-07-05",NA,NA,96
"2002-07-06",NA,NA,96
"2002-07-07",6.36,2.37,96
"2002-07-08",NA,NA,96
"2002-07-09",NA,NA,96
"2002-07-10",3.27,0.891,96
"2002-07-11",NA,NA,96
"2002-07-12",NA,NA,96
"2002-07-13",4.25,1.12,96
"2002-07-14",NA,NA,96
"2002-07-15",NA,NA,96
"2002-07-16",8.57,0.805,96
"2002-07-17",NA,NA,96
"2002-07-18",NA,NA,96
"2002-07-19",2.39,0.675,96
"2002-07-20",NA,NA,96
"2002-07-21",NA,NA,96
"2002-07-22",2.18,0.311,96
"2002-07-23",NA,NA,96
"2002-07-24",NA,NA,96
"2002-07-25",8.17,1.57,96
"2002-07-26",NA,NA,96
"2002-07-27",NA,NA,96
"2002-07-28",3.59,0.373,96
"2002-07-29",NA,NA,96
"2002-07-30",NA,NA,96
"2002-07-31",4.44,0.381,96
"2002-08-01",NA,NA,96
"2002-08-02",NA,NA,96
"2002-08-03",5.44,0.687,96
"2002-08-04",NA,NA,96
"2002-08-05",NA,NA,96
"2002-08-06",NA,NA,96
"2002-08-07",NA,NA,96
"2002-08-08",NA,NA,96
"2002-08-09",5.73,0.912,96
"2002-08-10",NA,NA,96
"2002-08-11",NA,NA,96
"2002-08-12",6.58,0.779,96
"2002-08-13",NA,NA,96
"2002-08-14",NA,NA,96
"2002-08-15",2.77,0.641,96
"2002-08-16",NA,NA,96
"2002-08-17",NA,NA,96
"2002-08-18",0.908,0.249,96
"2002-08-19",NA,NA,96
"2002-08-20",NA,NA,96
"2002-08-21",5.19,1.27,96
"2002-08-22",NA,NA,96
"2002-08-23",NA,NA,96
"2002-08-24",2.72,0.784,96
"2002-08-25",NA,NA,96
"2002-08-26",NA,NA,96
"2002-08-27",3.98,1.14,96
"2002-08-28",NA,NA,96
"2002-08-29",NA,NA,96
"2002-08-30",7.47,4.07,96
"2002-08-31",NA,NA,96
"2002-09-01",NA,NA,96
"2002-09-02",9.64,0.606,96
"2002-09-03",NA,NA,96
"2002-09-04",NA,NA,96
"2002-09-05",2.47,0.615,96
"2002-09-06",NA,NA,96
"2002-09-07",NA,NA,96
"2002-09-08",9.81,0.707,96
"2002-09-09",NA,NA,96
"2002-09-10",NA,NA,96
"2002-09-11",0.873,0.452,96
"2002-09-12",NA,NA,96
"2002-09-13",NA,NA,96
"2002-09-14",7.62,1.68,96
"2002-09-15",NA,NA,96
"2002-09-16",NA,NA,96
"2002-09-17",NA,NA,96
"2002-09-18",NA,NA,96
"2002-09-19",NA,NA,96
"2002-09-20",2.04,0.741,96
"2002-09-21",NA,NA,96
"2002-09-22",NA,NA,96
"2002-09-23",0.783,0.275,96
"2002-09-24",NA,NA,96
"2002-09-25",NA,NA,96
"2002-09-26",7.6,1.39,96
"2002-09-27",NA,NA,96
"2002-09-28",NA,NA,96
"2002-09-29",8.46,0.584,96
"2002-09-30",NA,NA,96
"2002-10-01",NA,NA,96
"2002-10-02",2.33,2.4,96
"2002-10-03",NA,NA,96
"2002-10-04",NA,NA,96
"2002-10-05",NA,0.51,96
"2002-10-06",NA,NA,96
"2002-10-07",NA,NA,96
"2002-10-08",NA,0.596,96
"2002-10-09",NA,NA,96
"2002-10-10",NA,NA,96
"2002-10-11",4.85,2.3,96
"2002-10-12",NA,NA,96
"2002-10-13",NA,NA,96
"2002-10-14",1.43,0.906,96
"2002-10-15",NA,NA,96
"2002-10-16",NA,NA,96
"2002-10-17",2.22,3.64,96
"2002-10-18",NA,NA,96
"2002-10-19",NA,NA,96
"2002-10-20",1.5,4.32,96
"2002-10-21",NA,NA,96
"2002-10-22",NA,NA,96
"2002-10-23",1.99,2.29,96
"2002-10-24",NA,NA,96
"2002-10-25",NA,NA,96
"2002-10-26",2.99,4.61,96
"2002-10-27",NA,NA,96
"2002-10-28",NA,NA,96
"2002-10-29",2.26,4.09,96
"2002-10-30",NA,NA,96
"2002-10-31",NA,NA,96
"2002-11-01",1.1,3.94,96
"2002-11-02",NA,NA,96
"2002-11-03",NA,NA,96
"2002-11-04",4.63,7.26,96
"2002-11-05",NA,NA,96
"2002-11-06",NA,NA,96
"2002-11-07",NA,NA,96
"2002-11-08",NA,NA,96
"2002-11-09",NA,NA,96
"2002-11-10",2.9,4.23,96
"2002-11-11",NA,NA,96
"2002-11-12",NA,NA,96
"2002-11-13",NA,NA,96
"2002-11-14",NA,NA,96
"2002-11-15",NA,NA,96
"2002-11-16",1.63,5.08,96
"2002-11-17",NA,NA,96
"2002-11-18",NA,NA,96
"2002-11-19",NA,NA,96
"2002-11-20",NA,NA,96
"2002-11-21",NA,NA,96
"2002-11-22",1.15,1.55,96
"2002-11-23",NA,NA,96
"2002-11-24",NA,NA,96
"2002-11-25",2.76,3.95,96
"2002-11-26",NA,NA,96
"2002-11-27",NA,NA,96
"2002-11-28",3.27,8.75,96
"2002-11-29",NA,NA,96
"2002-11-30",NA,NA,96
"2002-12-01",NA,NA,96
"2002-12-02",NA,NA,96
"2002-12-03",NA,NA,96
"2002-12-04",1.63,8.79,96
"2002-12-05",NA,NA,96
"2002-12-06",NA,NA,96
"2002-12-07",1.68,8.45,96
"2002-12-08",NA,NA,96
"2002-12-09",NA,NA,96
"2002-12-10",NA,NA,96
"2002-12-11",NA,NA,96
"2002-12-12",NA,NA,96
"2002-12-13",5.06,11.3,96
"2002-12-14",NA,NA,96
"2002-12-15",NA,NA,96
"2002-12-16",NA,NA,96
"2002-12-17",NA,NA,96
"2002-12-18",NA,NA,96
"2002-12-19",3.2,3.6,96
"2002-12-20",NA,NA,96
"2002-12-21",NA,NA,96
"2002-12-22",NA,NA,96
"2002-12-23",NA,NA,96
"2002-12-24",NA,NA,96
"2002-12-25",NA,NA,96
"2002-12-26",NA,NA,96
"2002-12-27",NA,NA,96
"2002-12-28",3,11.5,96
"2002-12-29",NA,NA,96
"2002-12-30",NA,NA,96
"2002-12-31",0.779,2.11,96
"2003-01-01",NA,NA,96
"2003-01-02",NA,NA,96
"2003-01-03",2.55,3.45,96
"2003-01-04",NA,NA,96
"2003-01-05",NA,NA,96
"2003-01-06",2.45,5.41,96
"2003-01-07",NA,NA,96
"2003-01-08",NA,NA,96
"2003-01-09",0.621,0.349,96
"2003-01-10",NA,NA,96
"2003-01-11",NA,NA,96
"2003-01-12",0.887,2.32,96
"2003-01-13",NA,NA,96
"2003-01-14",NA,NA,96
"2003-01-15",0.545,2.67,96
"2003-01-16",NA,NA,96
"2003-01-17",NA,NA,96
"2003-01-18",1.4,2.96,96
"2003-01-19",NA,NA,96
"2003-01-20",NA,NA,96
"2003-01-21",1.15,4.15,96
"2003-01-22",NA,NA,96
"2003-01-23",NA,NA,96
"2003-01-24",1.39,2.22,96
"2003-01-25",NA,NA,96
"2003-01-26",NA,NA,96
"2003-01-27",1.67,4.19,96
"2003-01-28",NA,NA,96
"2003-01-29",NA,NA,96
"2003-01-30",4.22,8.93,96
"2003-01-31",NA,NA,96
"2003-02-01",NA,NA,96
"2003-02-02",7.04,10.5,96
"2003-02-03",NA,NA,96
"2003-02-04",NA,NA,96
"2003-02-05",1.24,4.08,96
"2003-02-06",NA,NA,96
"2003-02-07",NA,NA,96
"2003-02-08",1.89,3.72,96
"2003-02-09",NA,NA,96
"2003-02-10",NA,NA,96
"2003-02-11",1.22,2.28,96
"2003-02-12",NA,NA,96
"2003-02-13",NA,NA,96
"2003-02-14",1.92,6.84,96
"2003-02-15",NA,NA,96
"2003-02-16",NA,NA,96
"2003-02-17",4.9,4.08,96
"2003-02-18",NA,NA,96
"2003-02-19",NA,NA,96
"2003-02-20",3.21,4.92,96
"2003-02-21",NA,NA,96
"2003-02-22",NA,NA,96
"2003-02-23",1.43,0.682,96
"2003-02-24",NA,NA,96
"2003-02-25",NA,NA,96
"2003-02-26",2.6,8.06,96
"2003-02-27",NA,NA,96
"2003-02-28",NA,NA,96
"2003-03-01",5.72,17.3,96
"2003-03-02",NA,NA,96
"2003-03-03",NA,NA,96
"2003-03-04",3.53,6.03,96
"2003-03-05",NA,NA,96
"2003-03-06",NA,NA,96
"2003-03-07",4.11,11.5,96
"2003-03-08",NA,NA,96
"2003-03-09",NA,NA,96
"2003-03-10",1.61,2.52,96
"2003-03-11",NA,NA,96
"2003-03-12",NA,NA,96
"2003-03-13",3.97,6.62,96
"2003-03-14",NA,NA,96
"2003-03-15",NA,NA,96
"2003-03-16",7.77,8.92,96
"2003-03-17",NA,NA,96
"2003-03-18",NA,NA,96
"2003-03-19",5.3,10,96
"2003-03-20",NA,NA,96
"2003-03-21",NA,NA,96
"2003-03-22",2.74,3.25,96
"2003-03-23",NA,NA,96
"2003-03-24",NA,NA,96
"2003-03-25",1.16,1.44,96
"2003-03-26",NA,NA,96
"2003-03-27",NA,NA,96
"2003-03-28",2.36,3.91,96
"2003-03-29",NA,NA,96
"2003-03-30",NA,NA,96
"2003-03-31",2.03,2.4,96
"2003-04-01",NA,NA,96
"2003-04-02",NA,NA,96
"2003-04-03",4.62,9.18,96
"2003-04-04",NA,NA,96
"2003-04-05",NA,NA,96
"2003-04-06",2.7,3.37,96
"2003-04-07",NA,NA,96
"2003-04-08",NA,NA,96
"2003-04-09",2.17,5.73,96
"2003-04-10",NA,NA,96
"2003-04-11",NA,NA,96
"2003-04-12",1.15,2.53,96
"2003-04-13",NA,NA,96
"2003-04-14",NA,NA,96
"2003-04-15",5.03,0.465,96
"2003-04-16",NA,NA,96
"2003-04-17",NA,NA,96
"2003-04-18",4.88,22.2,96
"2003-04-19",NA,NA,96
"2003-04-20",NA,NA,96
"2003-04-21",NA,NA,96
"2003-04-22",NA,NA,96
"2003-04-23",NA,NA,96
"2003-04-24",2.85,3.13,96
"2003-04-25",NA,NA,96
"2003-04-26",NA,NA,96
